Team ID,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,GCA Types
c2e6b53b,be Antwerp,20,6.0,99,16.50,74,9,6,4,3,3,8,1.33,5,0,1,1,0,1
18bb7c10,eng Arsenal,22,7.0,154,22.00,108,18,12,8,6,2,27,3.86,22,0,3,2,0,0
db3b9613,es Atlético Madrid,22,7.0,167,23.86,137,8,6,9,4,3,22,3.14,15,1,1,5,0,0
206d90db,es Barcelona,24,7.0,191,27.29,147,9,15,13,5,2,21,3.00,16,1,1,2,1,0
054efa67,de Bayern Munich,23,8.0,223,27.87,164,16,12,22,6,3,25,3.12,16,2,2,4,1,0
a77c513e,pt Benfica,22,6.0,124,20.67,90,12,5,10,5,2,13,2.17,11,0,1,0,0,1
69d84c29,pt Braga,23,6.0,160,26.67,121,13,6,10,7,3,11,1.83,8,1,0,1,0,1
b81aa4fa,sct Celtic,23,6.0,75,12.50,59,4,3,5,3,1,10,1.67,7,0,1,1,1,0
add600ae,de Dortmund,23,7.0,161,23.00,120,16,10,8,6,1,15,2.14,13,0,1,0,1,0
18050b20,dk FC Copenhagen,24,8.0,146,18.25,102,10,16,15,3,0,17,2.12,15,0,0,2,0,0
fb4ca611,nl Feyenoord,24,6.0,156,26.00,112,13,8,10,9,4,14,2.33,9,1,0,3,1,0
ecd11ca2,tr Galatasaray,20,6.0,163,27.17,117,16,6,14,7,3,18,3.00,14,0,1,0,3,0
d609edc0,it Inter,22,7.0,181,25.86,128,16,10,16,10,1,14,2.00,8,0,0,4,2,0
7213da33,it Lazio,21,8.0,165,20.62,122,14,12,7,7,3,14,1.75,7,0,2,3,2,0
fd4e0f7d,fr Lens,20,6.0,109,18.17,81,11,3,5,7,2,12,2.00,9,0,0,0,2,1
b8fd03ef,eng Manchester City,25,8.0,312,39.00,239,17,19,24,13,0,45,5.63,34,1,3,3,4,0
19538871,eng Manchester Utd,24,6.0,122,20.33,96,8,7,4,6,1,20,3.33,16,2,0,1,1,0
dc56fe14,it Milan,23,6.0,175,29.17,122,17,17,14,5,0,9,1.50,6,0,1,2,0,0
d48ad4ff,it Napoli,22,7.0,174,24.86,130,11,17,9,7,0,16,2.29,11,0,2,3,0,0
b2b47a98,eng Newcastle Utd,23,6.0,107,17.83,81,9,3,5,7,2,10,1.67,8,0,0,2,0,0
e2d8892c,fr Paris S-G,21,8.0,230,28.75,180,10,20,12,4,4,20,2.50,12,1,3,4,0,0
5e876ee6,pt Porto,25,7.0,166,23.71,122,12,11,11,5,5,25,3.57,15,1,2,3,1,3
e334d850,nl PSV Eindhoven,22,7.0,199,28.43,151,17,13,7,8,3,15,2.14,12,0,0,1,2,0
acbb6a5b,de RB Leipzig,23,8.0,223,27.87,156,19,18,18,9,3,27,3.38,16,2,5,2,0,2
50f2a074,at RB Salzburg,23,6.0,125,20.83,100,3,6,8,4,4,7,1.17,6,0,0,1,0,0
53a2f082,es Real Madrid,21,8.0,278,34.75,216,22,20,14,3,3,33,4.12,26,0,5,1,0,1
e31d1cd9,es Real Sociedad,26,8.0,187,23.37,131,21,13,13,7,2,12,1.50,7,0,4,1,0,0
099c6eb5,rs Red Star,22,6.0,142,23.67,100,9,13,15,1,4,10,1.67,6,1,0,3,0,0
ad2be733,es Sevilla,24,6.0,92,15.33,60,15,9,0,6,2,14,2.33,9,3,0,0,2,0
e89d5a28,ua Shakhtar,21,6.0,115,19.17,91,7,4,6,5,2,16,2.67,13,1,0,1,1,0
7a41008f,de Union Berlin,21,6.0,101,16.83,81,7,3,4,3,3,10,1.67,8,0,0,1,0,1
4b682260,ch Young Boys,23,6.0,120,20.00,86,13,9,7,4,1,11,1.83,9,0,1,1,0,0
