Team ID,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,Expected
c2e6b53b,be Antwerp,20,6.0,6,55,21,38.2,9.17,3.50,0.11,0.29,17.0,1,0,1,6.2,5.4,0.10,-0.2,+0.6
18bb7c10,eng Arsenal,22,7.0,16,86,31,36.0,12.29,4.43,0.17,0.48,15.0,1,1,1,11.2,10.4,0.12,+4.8,+4.6
db3b9613,es Atlético Madrid,22,7.0,15,89,31,34.8,12.71,4.43,0.17,0.48,17.2,1,0,1,9.9,8.9,0.10,+5.1,+6.1
206d90db,es Barcelona,24,7.0,12,112,36,32.1,16.00,5.14,0.11,0.33,17.2,3,0,0,11.2,11.2,0.10,+0.8,+0.8
054efa67,de Bayern Munich,23,8.0,15,123,35,28.5,15.37,4.37,0.11,0.40,16.1,4,1,1,13.8,13.1,0.11,+1.2,+0.9
a77c513e,pt Benfica,22,6.0,7,71,27,38.0,11.83,4.50,0.10,0.26,16.8,1,0,0,7.8,7.8,0.11,-0.8,-0.8
69d84c29,pt Braga,23,6.0,6,89,20,22.5,14.83,3.33,0.07,0.30,17.0,2,0,1,8.3,7.5,0.09,-2.3,-1.5
b81aa4fa,sct Celtic,23,6.0,5,46,22,47.8,7.67,3.67,0.09,0.18,14.0,0,1,1,4.9,4.1,0.10,+0.1,-0.1
add600ae,de Dortmund,23,7.0,8,91,31,34.1,13.00,4.43,0.08,0.23,18.6,2,1,1,8.8,8.0,0.09,-0.8,-1.0
18050b20,dk FC Copenhagen,24,8.0,10,82,26,31.7,10.25,3.25,0.11,0.35,18.4,1,1,2,9.1,7.8,0.10,+0.9,+1.2
fb4ca611,nl Feyenoord,24,6.0,8,90,30,33.3,15.00,5.00,0.09,0.27,17.2,4,0,1,10.6,9.8,0.12,-2.6,-1.8
ecd11ca2,tr Galatasaray,20,6.0,10,90,25,27.8,15.00,4.17,0.10,0.36,16.6,2,1,2,9.8,8.2,0.10,+0.2,+0.8
d609edc0,it Inter,22,7.0,9,101,29,28.7,14.43,4.14,0.06,0.21,16.6,3,3,3,14.6,12.3,0.13,-5.6,-6.3
7213da33,it Lazio,21,8.0,8,91,26,28.6,11.37,3.25,0.07,0.23,18.8,3,2,2,10.6,9.0,0.10,-2.6,-3.0
fd4e0f7d,fr Lens,20,6.0,6,59,15,25.4,9.83,2.50,0.08,0.33,16.8,2,1,1,6.1,5.3,0.09,-0.1,-0.3
b8fd03ef,eng Manchester City,25,8.0,24,168,64,38.1,21.00,8.00,0.13,0.33,15.8,7,3,3,21.1,18.8,0.12,+2.9,+2.2
19538871,eng Manchester Utd,24,6.0,12,70,26,37.1,11.67,4.33,0.16,0.42,16.0,2,1,1,10.5,9.7,0.14,+1.5,+1.3
dc56fe14,it Milan,23,6.0,5,94,27,28.7,15.67,4.50,0.05,0.19,16.9,4,0,1,9.6,8.9,0.10,-4.6,-3.9
d48ad4ff,it Napoli,22,7.0,9,94,28,29.8,13.43,4.00,0.09,0.29,16.9,3,1,1,9.2,8.5,0.09,-0.2,-0.5
b2b47a98,eng Newcastle Utd,23,6.0,6,62,25,40.3,10.33,4.17,0.10,0.24,18.2,4,0,0,5.9,5.9,0.10,+0.1,+0.1
e2d8892c,fr Paris S-G,21,8.0,13,129,41,31.8,16.12,5.12,0.09,0.27,18.0,1,2,2,16.0,14.5,0.11,-3.0,-3.5
5e876ee6,pt Porto,25,7.0,16,93,42,45.2,13.29,6.00,0.16,0.36,16.2,0,1,1,10.9,10.2,0.11,+5.1,+4.8
e334d850,nl PSV Eindhoven,22,7.0,8,107,35,32.7,15.29,5.00,0.06,0.17,18.5,2,2,2,9.5,7.9,0.08,-1.5,-1.9
acbb6a5b,de RB Leipzig,23,8.0,14,124,41,33.1,15.50,5.12,0.11,0.34,18.0,5,0,0,12.2,12.2,0.10,+1.8,+1.8
50f2a074,at RB Salzburg,23,6.0,4,71,22,31.0,11.83,3.67,0.04,0.14,19.4,1,1,2,7.4,5.9,0.08,-3.4,-2.9
53a2f082,es Real Madrid,21,8.0,17,149,48,32.2,18.62,6.00,0.11,0.35,16.4,1,0,1,17.2,16.4,0.11,-0.2,+0.6
e31d1cd9,es Real Sociedad,26,8.0,8,106,34,32.1,13.25,4.25,0.08,0.24,17.1,2,0,1,10.3,9.5,0.09,-2.3,-1.5
099c6eb5,rs Red Star,22,6.0,6,83,27,32.5,13.83,4.50,0.07,0.22,17.2,0,0,0,8.7,8.7,0.11,-2.7,-2.7
ad2be733,es Sevilla,24,6.0,7,52,17,32.7,8.67,2.83,0.12,0.35,16.2,0,1,1,5.9,5.1,0.10,+1.1,+0.9
e89d5a28,ua Shakhtar,21,6.0,9,69,26,37.7,11.50,4.33,0.13,0.35,17.5,2,0,0,7.4,7.4,0.11,+1.6,+1.6
7a41008f,de Union Berlin,21,6.0,6,57,20,35.1,9.50,3.33,0.11,0.30,17.2,2,0,0,5.6,5.6,0.10,+0.4,+0.4
4b682260,ch Young Boys,23,6.0,6,73,21,28.8,12.17,3.50,0.07,0.24,18.2,2,1,1,6.4,5.6,0.08,-0.4,-0.6
