Team ID,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh/90,SoT/90,SoT%,G/Sh,G/SoT,SCA90,GCA90,GA90,Save%,SoTA
18bb7c10,eng Arsenal,2.29,1.86,4.14,2.14,4.0,12.29,4.43,36.0,0.17,0.48,22.0,3.86,0.71,75.0,20
db3b9613,es Atlético Madrid,2.14,1.29,3.43,2.14,3.43,12.71,4.43,34.8,0.17,0.48,23.86,3.14,1.0,77.4,31
206d90db,es Barcelona,1.71,1.71,3.43,1.71,3.43,16.0,5.14,32.1,0.11,0.33,27.29,3.0,1.0,68.2,22
054efa67,de Bayern Munich,1.87,1.5,3.38,1.75,3.25,15.37,4.37,28.5,0.11,0.4,27.87,3.12,0.87,77.3,22
add600ae,de Dortmund,1.14,1.0,2.14,1.0,2.0,13.0,4.43,34.1,0.08,0.23,23.0,2.14,0.71,88.5,26
18050b20,dk FC Copenhagen,1.25,0.75,2.0,1.13,1.87,10.25,3.25,31.7,0.11,0.35,18.25,2.12,1.75,70.5,44
d609edc0,it Inter,1.29,0.71,2.0,0.86,1.57,14.43,4.14,28.7,0.06,0.21,25.86,2.0,0.71,80.0,25
7213da33,it Lazio,1.0,0.62,1.62,0.75,1.37,11.37,3.25,28.6,0.07,0.23,20.62,1.75,1.25,67.7,31
b8fd03ef,eng Manchester City,3.0,2.25,5.25,2.62,4.87,21.0,8.0,38.1,0.13,0.33,39.0,5.63,1.13,52.6,19
d48ad4ff,it Napoli,1.29,0.57,1.86,1.14,1.71,13.43,4.0,29.8,0.09,0.29,24.86,2.29,1.43,71.4,35
e2d8892c,fr Paris S-G,1.62,1.13,2.75,1.37,2.5,16.12,5.12,31.8,0.09,0.27,28.75,2.5,1.13,75.0,36
5e876ee6,pt Porto,2.29,1.71,4.0,2.14,3.86,13.29,6.0,45.2,0.16,0.36,23.71,3.57,1.14,66.7,24
e334d850,nl PSV Eindhoven,1.14,0.71,1.86,0.86,1.57,15.29,5.0,32.7,0.06,0.17,28.43,2.14,1.57,59.3,27
acbb6a5b,de RB Leipzig,1.75,1.62,3.38,1.75,3.38,15.5,5.12,33.1,0.11,0.34,27.87,3.38,1.5,60.0,30
53a2f082,es Real Madrid,2.12,1.87,4.0,2.12,4.0,18.62,6.0,32.2,0.11,0.35,34.75,4.12,1.0,80.0,35
e31d1cd9,es Real Sociedad,1.0,0.62,1.62,1.0,1.62,13.25,4.25,32.1,0.08,0.24,23.37,1.5,0.75,76.0,25
